2018-07-20 06:28:37.259 Detail, Node008, Notification: ValueAdded
2018-07-20 06:28:37.259 Detail, Node008, Notification: Group
2018-07-20 06:28:37.259 Detail, Node008, Notification: Group
2018-07-20 06:28:37.259 Detail, Node008, Notification: Group
2018-07-20 06:28:37.259 Detail, Node008, Notification: Group
2018-07-20 06:28:37.259 Detail, Node008, Notification: Group
2018-07-20 06:28:37.259 Detail, Node008, Notification: ValueAdded
2018-07-20 06:28:37.259 Detail, Node008, Notification: ValueAdded
2018-07-20 06:28:37.259 Detail, Node008, Notification: ValueAdded
2018-07-20 06:28:37.259 Detail, Node008, Notification: ValueAdded
2018-07-20 06:28:37.260 Detail, Node008, Notification: ValueAdded
2018-07-20 06:28:37.260 Detail, Node008, Notification: ValueAdded
2018-07-20 06:28:37.260 Detail, Node008, Notification: Group
2018-07-20 06:28:37.260 Detail, Node008, Notification: Group
2018-07-20 06:28:37.260 Detail, Node008, Notification: Group
2018-07-20 06:28:37.260 Detail, Node008, Notification: Group
2018-07-20 06:28:37.260 Detail, Node008, Notification: Group
2018-07-20 06:28:37.260 Detail, Node008, Notification: ValueAdded
2018-07-20 06:28:37.260 Detail, Node008, Notification: NodeNaming
2018-07-20 06:28:38.477 Info, Node008, Sending (NoOp) message (Callback ID=0x10, Expected Reply=0x13) - NoOperation_Set (Node=8): 0x01, 0x09, 0x00, 0x13, 0x08, 0x02, 0x00, 0x00, 0x25, 0x10, 0xda
2018-07-20 06:28:38.484 Detail, Node008,   Received: 0x01, 0x04, 0x01, 0x13, 0x01, 0xe8
2018-07-20 06:28:38.484 Detail, Node008,   ZW_SEND_DATA delivered to Z-Wave stack
2018-07-20 06:28:42.616 Detail, Node008,   Received: 0x01, 0x07, 0x00, 0x13, 0x10, 0x01, 0x01, 0x9d, 0x66
2018-07-20 06:28:42.616 Detail, Node008,   ZW_SEND_DATA Request with callback ID 0x10 received (expected 0x10)
2018-07-20 06:28:42.616 Info, Node008, WARNING: ZW_SEND_DATA failed. No ACK received - device may be asleep.
2018-07-20 06:28:42.616 Warning, Node008, WARNING: Device is not a sleeping node.
2018-07-20 06:28:42.616 Info, Node008, QueryStageRetry stage Probe requested stage Probe max 3 retries 0 pending 1
2018-07-20 06:28:42.616 Detail, Node008, Removing current message
2018-07-20 06:28:42.616 Detail, Node008, Notification: Notification - NoOperation
2018-07-20 06:28:59.269 Detail, Node008, Queuing (Command) ControllerCommand_DeleteAllReturnRoutess (Node=8): 0x01, 0x05, 0x00, 0x47, 0x08, 0x29, 0x9c
2018-07-20 06:28:59.269 Info, Node008, Sending (Command) message (Callback ID=0x29, Expected Reply=0x47) - ControllerCommand_DeleteAllReturnRoutess (Node=8): 0x01, 0x05, 0x00, 0x47, 0x08, 0x29, 0x9c
2018-07-20 06:28:59.276 Detail, Node008,   Received: 0x01, 0x04, 0x01, 0x47, 0x01, 0xbc
2018-07-20 06:28:59.276 Info, Node008, Received reply to FUNC_ID_ZW_DELETE_RETURN_ROUTE - command in progress
2018-07-20 06:28:59.374 Detail, Node008,   Received: 0x01, 0x05, 0x00, 0x47, 0x29, 0x01, 0x95
2018-07-20 06:28:59.375 Info, Node008, WARNING: ZW_DELETE_RETURN_ROUTE failed. No ACK received - device may be asleep.
2018-07-20 06:28:59.375 Warning, Node008, WARNING: Device is not a sleeping node.
2018-07-20 06:28:59.375 Detail, Node008, Removing current message
2018-07-20 06:28:59.375 Detail, Node008, Queuing (Command) ControllerCommand_AssignReturnRoute (Node=8): 0x01, 0x06, 0x00, 0x46, 0x08, 0x01, 0x2a, 0x9c
2018-07-20 06:28:59.375 Info, Node008, Sending (Command) message (Callback ID=0x2a, Expected Reply=0x46) - ControllerCommand_AssignReturnRoute (Node=8): 0x01, 0x06, 0x00, 0x46, 0x08, 0x01, 0x2a, 0x9c
2018-07-20 06:28:59.385 Detail, Node008,   Received: 0x01, 0x04, 0x01, 0x46, 0x01, 0xbd
2018-07-20 06:28:59.385 Info, Node008, Received reply to FUNC_ID_ZW_ASSIGN_RETURN_ROUTE - command in progress
2018-07-20 06:28:59.483 Detail, Node008,   Received: 0x01, 0x05, 0x00, 0x46, 0x2a, 0x01, 0x97
2018-07-20 06:28:59.484 Info, Node008, WARNING: ZW_ASSIGN_RETURN_ROUTE failed. No ACK received - device may be asleep.
2018-07-20 06:28:59.484 Warning, Node008, WARNING: Device is not a sleeping node.
2018-07-20 06:28:59.484 Error, Node008, ERROR: node presumed dead
2018-07-20 06:28:59.484 Detail, Node008, Removing current message
2018-07-20 06:28:59.484 Detail, Node008, Notification: Notification - Node Dead
2018-07-20 06:29:10.043 Detail, Node008, Query Stage Complete (Probe)
2018-07-20 06:29:10.043 Detail, Node008, AdvanceQueries queryPending=0 queryRetries=1 queryStage=Probe live=0
2018-07-20 09:02:15.835 Detail, Node008, Queuing (Controller) Request Node Neighbor Update
2018-07-20 09:02:15.837 Detail, Node008, Queuing (Command) ControllerCommand_RequestNodeNeighborUpdate (Node=8): 0x01, 0x05, 0x00, 0x48, 0x08, 0xe3, 0x59
2018-07-20 09:02:15.837 Error, Node008, ERROR: Dropping command because node is presumed dead
2018-07-20 09:02:15.838 Detail, Node008, Removing current message
2018-07-20 09:02:30.834 Detail, Node008, AdvanceQueries queryPending=0 queryRetries=1 queryStage=ProtocolInfo live=0
2018-07-20 09:05:08.517 Detail, Node008, AdvanceQueries queryPending=0 queryRetries=1 queryStage=ProtocolInfo live=0
2018-07-20 09:09:41.039 Detail, Node008, Queuing (Controller) Replace Failed Node
2018-07-20 09:12:27.483 Detail, Node008, Queuing (Controller) Replace Failed Node
2018-07-20 09:12:37.912 Detail, Node008, AdvanceQueries queryPending=0 queryRetries=0 queryStage=None live=1
2018-07-20 09:12:37.912 Detail, Node008, QueryStage_ProtocolInfo
2018-07-20 09:12:37.912 Detail, Node008, Queuing (Query) Get Node Protocol Info (Node=8): 0x01, 0x04, 0x00, 0x41, 0x08, 0xb2
2018-07-20 09:12:37.912 Detail, Node008, Queuing (Query) Query Stage Complete (ProtocolInfo)
2018-07-20 09:12:37.912 Info, Node008, Initializing Node. New Node: true (true)
2018-07-20 09:12:37.912 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.913 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.920 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.928 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.928 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.944 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.944 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.944 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.944 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.944 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.944 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.945 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.945 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.945 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.945 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.945 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.945 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.945 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.945 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.945 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.945 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.946 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.946 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.946 Detail, Node008, Notification: ValueRemoved
2018-07-20 09:12:37.946 Detail, Node008, Notification: ValueRemoved
